"maincity_id","maincity_name","history_culture","points_interest","nature_wildlife","urban_lifestyle","handicrafts","adventure","spa_wellness","beach","description","image","id"
2,"CUENCA",0.827570586763168,0.853885626092541,0.6858403872335,0.777435662791325,0.807396346328399,0.57876352837959,0.479624933136263,0,"Cuenca is the third-largest city of Ecuador, located in a valley in the Andean mountains. It is home to beautiful art galleries, making it a cultural hotspot. Its historical colonial buildings, narrow cobblestone streets, and the calm and traditional atmosphere make it the most charming city.","images/destinations/cuenca.jpg",
29,"RIOBAMBA",0.534913455142203,0.660351969974077,0.799522142784759,0.694601477290512,0.521772319619546,0.851133443031298,0.760187533431869,0,"Riobamba is a small city with colonial architecture, cobblestone streets, beautiful plazas, and a fascinating market. It is located in the Andean highlands, very close to the Chimborazo volcano, the highest peak of Ecuador.","images/destinations/riobamba.jpg",
36,"LATACUNGA",0.581606658237077,0.615099004154409,0.7963073657443,0.694601477290512,0.468679065062329,0.858129965902882,0.796639770196912,0,"Just an hour and half from Quito and 25 km from the Cotopaxi, an active volcano, you can find Latacunga. Latacunga is a cold and windy city due to its location on a plateau. It is known for its traditional dish “Chugchucaras”.","images/destinations/latacunga.jpg",
50,"MACHALA",0.217005761176051,0.323110934885993,0.134809905965808,0.231533825763504,0,0,0,0,"Machala is the second-most important port in the country. It is known as the Banana Capital of the World because of the important banana production for export. Machala´s port, Puerto Bolivar, is 20 minutes away from Machala, where you can go see ships being loaded with bananas.","images/destinations/machala.jpg",
56,"ATACAMES",0,0,0.404429717897424,0.146081579632424,0,0,0,0.511185363631416,"Atacames is a popular beach town where tourism is the main activity. Tourists from across the country visit this small town that offers all kinds of seafood dishes, beach activities, and beach bars where you can enjoy exotic drinks and dancing.","images/destinations/atacames.jpg",
59,"ESMERALDAS",0,0,0.404429717897424,0.146081579632424,0,0,0,0.511185363631416,"Esmeraldas is a seaport, with a mainly afro-ecuadorian population. It is the principal trading center for the region’s agricultural and lumber resources.","images/destinations/esmeraldas.jpg",
72,"GENERAL VILLAMIL",0,0,0.313018908131133,0,0,0,0,0.364175800939877,"General Villamil, better known as Playas, is a coastal city that offers 14 km of beautiful beaches. Surfing, windsurfing, sky diving, and fishing are some of the water sports that can be practiced here.","images/destinations/general_villamil.jpg",
73,"GUAYAQUIL",0.798612419413128,0.916411327657704,0.680034296885188,0.702266000867885,0.6055472597463,0.432464688588244,0.239812466568131,0,"Guayaquil is the main sea port of Ecuador and the most populous city. It is a dynamic, lively, and exciting city with hot and humid climate where visitors are welcomed with tropical music and the best traditional seafood dishes.","images/destinations/guayaquil.jpg",
81,"COTACACHI",0.665132369470434,0.660351969974077,0.661497459778492,0.678381847788104,0.698283112315174,0.555759164269197,0.380093766715934,0,"Cotacachi a small Andean city known for its artisanal manufacturers of leather goods and handcrafts. Relatively prosperous, with Lake Cuicocha and the Cotacachi Mountain nearby, it is a charming town that offers community-based tourism.","images/destinations/cotacachi.jpg",
82,"IBARRA",0.651017283528152,0.631179536422181,0.63366583640055,0.660809076105948,0.698283112315174,0.501900536430522,0.380093766715934,0,"Ibarra, a colonial city located in northern Ecuador, is the largest city north of Quito. Its white-washed houses, cobblestone streets, and beautiful plazas with towering palms have given the city the name of “Ciudad Blanca” (the White City).","images/destinations/ibarra.jpg",
